drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Enstilar,(betamethasone dipropionate and calcipotriene)  Foam,"October 16, 2015",LEO Pharma,Plaque Psoriasis
Praxbind,(idarucizumab)  Injection,"October 16, 2015","Boehringer Ingelheim Pharmaceuticals, Inc.",Reversal Agent for Pradaxa
Aristada,(aripiprazole lauroxil)  Injection,"October 5, 2015",Alkermes plc,Schizophrenia
MorphaBond ER,(morphine sulfate)  Extended-Release Tablets,"October 2, 2015","Inspirion Delivery Technologies, LLC",Pain
Tresiba,(insulin degludec)  Injection,"September 25, 2015",Novo Nordisk,"Diabetes, Type 1, Diabetes, Type 2"
Ryzodeg 70/30,(insulin degludec and insulin aspart)  Injection,"September 25, 2015",Novo Nordisk,"Diabetes, Type 1, Diabetes, Type 2"
Lonsurf,(tipiracil hydrochloride and trifluridine)  Tablets,"September 22, 2015","Taiho Oncology, Inc.","Colorectal Cancer, Gastric Cancer"
Vraylar,(cariprazine)  Capsules,"September 17, 2015",Allergan and Gedeon Richter plc,"Schizophrenia, Bipolar Disorder, Major Depressive Disorder"
Nuwiq,(antihemophilic factor (recombinant))  for Injection,"September 4, 2015","Octapharma USA, Inc.",Hemophilia A
Durlaza,(aspirin)  Extended Release Capsules,"September 4, 2015","New Haven Pharmaceuticals, Inc.","Ischemic Stroke, Prophylaxis"
Xuriden,(uridine triacetate)  Oral Granules,"September 4, 2015",Wellstat Therapeutics Corporation,Hereditary Orotic Aciduria
Varubi,(rolapitant)  Tablets and Injection,"September 1, 2015",Tesaro Inc.,"Nausea/Vomiting, Chemotherapy Induced"
Repatha,(evolocumab)  Injection,"August 27, 2015",Amgen Inc.,High Cholesterol; Prevention of Heart Attack and Stroke
Synjardy,(empagliflozin and metformin)  Tablets,"August 26, 2015",Eli Lilly and Company and Boehringer Ingelheim,"Diabetes, Type 2"
Addyi,(flibanserin)  Tablets,"August 18, 2015","Sprout Pharmaceuticals, Inc.",Hypoactive Sexual Desire Disorder
Keveyis,(dichlorphenamide)  Tablets,"August 7, 2015",Taro Pharmaceutical Industries Ltd.,Primary Hyperkalemic and Hypokalemic Periodic Paralysis
Spritam,(levetiracetam)  Tablets for for Oral Suspension,"August 3, 2015",Aprecia Pharmaceuticals Company,"Seizures, Epilepsy"
Daklinza,(daclatasvir)  Tablets,"July 24, 2015",Bristol-Myers Squibb Company,Hepatitis C
Praluent,(alirocumab)  Injection,"July 24, 2015",Sanofi,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Cardiovascular Risk Reduction"
Odomzo,(sonidegib)  Capsules,"July 24, 2015",Novartis Pharmaceuticals Corporation,Basal Cell Carcinoma
Technivie,"(ombitasvir, paritaprevir and ritonavir)  Tablets","July 24, 2015",AbbVie Inc.,Hepatitis C
Epiduo Forte,(adapalene and benzoyl peroxide)  Topical Gel,"July 15, 2015","Galderma Laboratories, L.P.",Acne
Envarsus XR ,Envarsus XR (tacrolimus)  Extended-Release Tablets,"July 10, 2015",Veloxis Pharmaceuticals A/S,"Organ Transplant, Rejection Prophylaxis"
Rexulti,(brexpiprazole)  Tablets,"July 10, 2015","Otsuka Pharmaceutical Co., Ltd. and H. Lundbeck A/S","Major Depressive Disorder, Schizophrenia, Agitation Associated with Dementia Due to Alzheimer’s Disease"
Entresto,(sacubitril and valsartan)  Tablets and Sprinkle Capsules,"July 7, 2015",Novartis Pharmaceuticals Corporation,Heart Failure
Orkambi,(ivacaftor and lumacaftor)  Tablets and Oral Granules,"July 2, 2015",Vertex Pharmaceuticals Incorporated,Cystic Fibrosis
Tuxarin ER,(chlorpheniramine and codeine)  Extended Release Tablets,"June 22, 2015",Spriaso LLC,"Cough, Cold Symptoms"
Kengreal,(cangrelor)  for Injection,"June 22, 2015",The Medicines Company,Percutaneous Coronary Intervention
Viberzi,(eluxadoline)  Tablets,"May 27, 2015","Allergan, Inc.",Irritable Bowel Syndrome
Stiolto Respimat,(olodaterol and tiotropium)  Inhalation Spray,"May 21, 2015","Boehringer Ingelheim Pharmaceuticals, Inc.",COPD
Invega Trinza,(paliperidone palmitate)  Extended-Release Injectable Suspension,"May 18, 2015","Janssen Pharmaceuticals,  Inc.",Schizophrenia
Tuzistra XR,(chlorpheniramine polistirex and codeine polistirex)  Extended Release Oral Suspension,"April 30, 2015",Vernalis plc and Tris Pharma Inc.,"Cold Symptoms, Cough"
Raplixa,(fibrin sealant [human]),"April 30, 2015",ProFibrix BV,Hemostasis
Ixinity,(coagulation factor IX (recombinant))  for Injection,"April 29, 2015",Emergent BioSolutions Inc.,Hemophilia B
Kybella,(deoxycholic acid)  Injection  - formerly ATX-101,"April 29, 2015","Allergan, Inc.",Submental Fullness
Glatopa,(glatiramer acetate)  Injection,"April 16, 2015",Sandoz Inc.,Multiple Sclerosis
Corlanor,(ivabradine)  Tablets and Oral Solution,"April 15, 2015",Amgen Inc.,Chronic Heart Failure
ProAir RespiClick,(albuterol sulfate)  Inhalation Powder,"March 31, 2015",Teva Pharmaceutical Industries Ltd.,Asthma
Jadenu,(deferasirox)  Tablets,"March 30, 2015",Novartis Pharmaceuticals Corporation,Iron Overload
Quadracel ,Quadracel (Diphtheria and Tetanus Toxoids and Acellular Pertussis Absorbed and Inactivated Poliovirus; DTaP-IPV Vaccine)  Injection,"March 24, 2015",Sanofi Pasteur,"Diphtheria Prophylaxis, Tetanus Prophylaxis, Poliomyelitis Prophylaxis, Pertussis Prophylaxis"
Anthrasil,(Anthrax Immune Globulin Intravenous (Human))  Injection,"March 24, 2015","Emergent BioSolutions, Inc.",Inhalation Anthrax
Cholbam,(cholic acid)  Capsules,"March 17, 2015",Asklepion Pharmaceuticals LLC,Bile Acid Synthesis Disorders
Unituxin,(dinutuximab)  Injection,"March 10, 2015",United Therapeutics Corporation,Neuroblastoma
Cresemba,(isavuconazonium)  Capsules and Injection,"March 6, 2015","Astellas Pharma US, Inc.",Invasive Aspergillosis; Invasive Mucormycosis
Zarxio,(filgrastim-sndz)  Injection,"March 6, 2015",Sandoz,Neutropenia Associated with Chemotherapy
Liletta,(levonorgestrel)  Intrauterine Device,"February 26, 2015",Medicines360,"Birth Control, Heavy Menstrual Bleeding"
Toujeo SoloStar,(insulin glargine [rDNA origin])  Injection  - formerly Toujeo,"February 25, 2015",Sanofi,"Diabetes, Type 1, Diabetes, Type 2"
Avycaz,(avibactam and ceftazidime)  Injection,"February 25, 2015",Actavis plc,"Intraabdominal Infection, Urinary Tract Infection, Pneumonia"
Farydak,(panobinostat)  Capsules,"February 23, 2015","Secura Bio, Inc.",Multiple Myeloma
Lenvima,(lenvatinib)  Capsules,"February 13, 2015",Eisai Inc.,"Thyroid Cancer, Renal Cell Carcinoma, Hepatocellular Carcinoma, Endometrial Cancer"
Dutrebis ,Dutrebis (lamivudine and raltegravir)  Tablets,"February 6, 2015",Merck,HIV Infection
Ibrance,(palbociclib)  Capsules and Tablets,"February 3, 2015",Pfizer Inc.,Breast Cancer
Glyxambi,(empagliflozin and linagliptin)  Tablets,"January 30, 2015","Boehringer Ingelheim Pharmaceuticals, Inc. and Eli Lilly and Company","Diabetes, Type 2"
Pazeo,(olopatadine hydrochloride)  Ophthalmic Solution,"January 30, 2015","Alcon Laboratories, Inc.","Conjunctivitis, Allergic"
Prezcobix,(cobicistat and darunavir)  Tablets,"January 29, 2015","Janssen Research & Development, LLC",HIV Infection
Evotaz,(atazanavir and cobicistat)  Tablets,"January 29, 2015",Bristol-Myers Squibb Company,HIV Infection
Triferic,(ferric pyrophosphate citrate),"January 23, 2015","Rockwell Medical, Inc.",Anemia Due to Chronic Kidney Disease
Bexsero,(meningococcal group B vaccine)  Injection,"January 23, 2015",Novartis Vaccines and Diagnostics Inc.,"Meningitis, Meningococcal"
Natpara,(parathyroid hormone)  Injection,"January 23, 2015","NPS Pharmaceuticals, Inc.",Hypoparathyroidism
Prestalia,(amlodipine besylate and perindopril arginine)  Tablets,"January 21, 2015",Symplmed,High Blood Pressure
Cosentyx,(secukinumab)  Injection,"January 21, 2015",Novartis Pharmaceuticals Corporation,"Plaque Psoriasis, Ankylosing Spondylitis, Psoriatic Arthritis, Non-Radiographic Axial Spondyloarthritis, Enthesitis-Related Arthritis, Hidradenitis Suppurativa"
Phoxillum,(renal replacement solution),"January 13, 2015",Baxter International Inc.,Continuous Renal Replacement Therapy
Duopa,(carbidopa and levodopa)  Enteral Suspension,"January 12, 2015",AbbVie Inc.,Parkinson's Disease
Savaysa,(edoxaban)  Tablets,"January 8, 2015",Daiichi Sankyo Company,"Prevention of Thromboembolism in Atrial Fibrillation, Deep Vein Thrombosis, Pulmonary Embolism"
Rytary,(carbidopa and levodopa)  Extended Release Capsules,"January 7, 2015","Impax Laboratories, Inc.",Parkinson's Disease
Opdivo,(nivolumab)  Injection,"December 22, 2014",Bristol-Myers Squibb Company,"Melanoma, Metastatic, Non-Small Cell Lung Cancer, Renal Cell Carcinoma, Hodgkin's Lymphoma, Head and Neck Cancer, Urothelial Carcinoma, Colorectal Cancer, Hepatocellular Carcinoma, Esophageal Carcinoma, Malignant Pleural Mesothelioma, Gastric Cancer"
Dyloject,(diclofenac sodium)  Injection,"December 23, 2014",Pfizer Inc.,Pain
Namzaric,(donepezil and memantine),"December 23, 2014","Allergan, Inc.",Alzheimer's Disease
Saxenda,(liraglutide)  Injection,"December 23, 2014",Novo Nordisk Inc.,Weight Loss (Obesity/Overweight)
Soolantra,(ivermectin)  Cream,"December 19, 2014","Galderma Laboratories, L.P.",Rosacea
Rapivab,(peramivir)  Injection,"December 19, 2014","BioCryst Pharmaceuticals, Inc.",Influenza
Opdivo,(nivolumab)  Injection,"December 22, 2014",Bristol-Myers Squibb Company,"Melanoma, Metastatic, Non-Small Cell Lung Cancer, Renal Cell Carcinoma, Hodgkin's Lymphoma, Head and Neck Cancer, Urothelial Carcinoma, Colorectal Cancer, Hepatocellular Carcinoma, Esophageal Carcinoma, Malignant Pleural Mesothelioma, Gastric Cancer"
Zerbaxa,(ceftolozane and tazobactam)  Injection,"December 19, 2014",Merck,"Intraabdominal Infection, Urinary Tract Infection, Pneumonia"
Viekira Pak,(ombitasvir/paritaprevir/ritonavir with dasabuvir)  Tablets,"December 19, 2014",AbbVie Inc.,Hepatitis C
Lynparza,(olaparib)  Tablets,"December 19, 2014",AstraZeneca,"Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer, Breast Cancer, Pancreatic Cancer, Prostate Cancer"
Xtoro,(finafloxacin)  Otic Suspension,"December 17, 2014","Alcon Laboratories, Inc.",Otitis Externa
Signifor LAR,(pasireotide)  for Injectable Suspension,"December 15, 2014",Novartis,Acromegaly
Gardasil 9,"(human papillomavirus 9-valent vaccine, recombinant)  Injection","December 10, 2014","Merck & Co., Inc.",Human Papillomavirus Prophylaxis
Blincyto,(blinatumomab)  Injection,"December 3, 2014",Amgen Inc.,Acute Lymphoblastic Leukemia
Kitabis Pak,(tobramycin)  Inhalation Solution,"December 2, 2014","PulmoFlow, Inc.",Cystic Fibrosis
Onexton,(benzoyl peroxide and clindamycin phosphate)  Gel,"November 25, 2014","Valeant Pharmaceuticals International, Inc.",Acne
Hysingla ER,(hydrocodone bitartrate)  Extended-Release Tablets,"November 20, 2014",Purdue Pharma L.P.,Chronic Pain
Lemtrada,(alemtuzumab)  Injection,"November 14, 2014",Genzyme,Multiple Sclerosis
Xigduo XR,(dapagliflozin and metformin hydrochloride)  Extended-Release Tablets,"October 30, 2014",AstraZeneca,"Diabetes, Type 2, Heart Failure"
Trumenba,(meningococcal group B vaccine),"October 29, 2014",Pfizer Inc.,Meningococcal Disease Prophylaxis
Obizur ,Obizur (antihemophilic factor (recombinant)),"October 23, 2014",Baxter International Inc.,Hemophilia A
Sotylize,(sotalol hydrochloride)  Oral Solution,"October 22, 2014",Arbor Pharmaceuticals,"Ventricular Arrhythmia, Atrial Fibrillation, Atrial Flutter"
Ofev,(nintedanib)  Capsules,"October 15, 2014","Boehringer Ingelheim Pharmaceuticals, Inc.",Idiopathic Pulmonary Fibrosis; Interstitial Lung Disease
Esbriet,(pirfenidone)  Capsules,"October 15, 2014","InterMune, Inc.",Idiopathic Pulmonary Fibrosis
Lumason,(sulfur hexafluoride lipid microsphere)  Injectable Suspension,"October 10, 2014",Bracco Diagnostics Inc.,Diagnosis and Investigation
Harvoni,(ledipasvir and sofosbuvir)  Tablets and Oral Pellets,"October 10, 2014","Gilead Sciences, Inc.",Hepatitis C
Akynzeo,(netupitant and palonosetron)  Capsules,"October 10, 2014",Helsinn Group,"Nausea/Vomiting, Chemotherapy Induced"
Iluvien,(fluocinolone acetonide)  Intravitreal Implant,"September 26, 2014",pSivida Corp.,Diabetic Macular Edema
Tybost,(cobicistat)  Tablets,"September 24, 2014","Gilead Sciences, Inc.",HIV Infection
Vitekta,(elvitegravir)  Tablets,"September 24, 2014","Gilead Sciences, Inc.",HIV Infection
Trulicity,(dulaglutide)  Injection,"September 18, 2014",Eli Lilly and Company,"Diabetes, Type 2, Cardiovascular Risk Reduction"
Movantik,(naloxegol)  Tablets,"September 16, 2014",AstraZeneca Pharmaceuticals LP,Opioid-Induced Constipation
Hyqvia,(immune globulin and hyaluronidase)  Solution for Subcutaneous Administration,"September 12, 2014","Takeda Pharmaceuticals U.S.A., Inc.","Primary Immunodeficiency Syndrome, Chronic Inflammatory Demyelinating Polyradiculoneuropathy"
Contrave,(bupropion and naltrexone)  Tablets,"September 10, 2014","Orexigen Therapeutics, Inc.",Weight Loss (Obesity/Overweight)
Auryxia,(ferric citrate)  Tablets,"September 5, 2014","Keryx Biopharmaceuticals, Inc.","Hyperphosphatemia of Renal Failure, Anemia Due to Chronic Kidney Disease"
Keytruda,(pembrolizumab)  for Injection,"September 4, 2014","Merck & Co., Inc.","Melanoma, Metastatic, Non-Small Cell Lung Cancer, Head and Neck Cancer, Hodgkin's Lymphoma, Urothelial Carcinoma, Gastric Cancer, Cervical Cancer, Hepatocellular Carcinoma, Merkel Cell Carcinoma, Renal Cell Carcinoma, Esophageal Carcinoma, Endometrial Cancer, Squamous Cell Carcinoma, Hepatocellular Carcinoma, Breast Cancer, Biliary Tract Tumor"
Kabiven,"(amino acids, electrolytes, dextrose and lipid)  Injectable Emulsion","August 25, 2014",Fresenius Kabi USA,Parenteral Nutrition
Triumeq,"(abacavir, dolutegravir and lamivudine)  Tablets","August 22, 2014",ViiV Healthcare,HIV Infection
Arnuity Ellipta,(fluticasone furoate)  Inhalation Powder,"August 20, 2014",GlaxoSmithKline plc,"Asthma, Asthma, Maintenance"
Cerdelga,(eliglustat)  Capsules,"August 19, 2014",Genzyme Corporation,Gaucher Disease
Plegridy,(peginterferon beta-1a)  Injection,"August 15, 2014",Biogen Idec,Multiple Sclerosis
Belsomra,(suvorexant)  Tablets,"August 13, 2014","Merck, Sharpe & Dohme Corp.",Insomnia
Invokamet,(canagliflozin and metformin)  Tablets,"August 8, 2014","Janssen Research & Development, LLC","Diabetes, Type 2, Cardiovascular Risk Reduction"
Orbactiv,(oritavancin)  Injection,"August 6, 2014",The Medicines Company,Skin and Structure Infection
Jardiance,(empagliflozin)  Tablets,"August 1, 2014","Boehringer Ingelheim Pharmaceuticals, Inc.","Diabetes, Type 2, Cardiovascular Risk Reduction, Heart Failure, Chronic Kidney Disease"
Striverdi Respimat,(olodaterol)  Inhalation Spray,"July 31, 2014",Boehringer Ingelheim Pharmaceuticals Inc.,COPD
Acticlate,(doxycycline hyclate)  Tablets,"July 25, 2014","Aqua Pharmaceuticals, LLC","Bacterial Infection, Acne"
Flonase Allergy Relief ,Flonase Allergy Relief (fluticasone propionate)  Nasal Spray,"July 23, 2014",GlaxoSmithKline plc,Allergic Rhinitis
Ryanodex ,Ryanodex (dantrolene)  Injectable Suspension,"July 22, 2014","Eagle Pharmaceuticals, Inc.",Malignant Hyperthermia
Targiniq ER,(naloxone and oxycodone)  Extended-Release Tablets,"July 23, 2014",Purdue Pharma L.P.,Pain
Zydelig,(idelalisib)  Tablets,"July 23, 2014","Gilead Sciences, Inc.","Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia, Follicular Lymphoma"
Ruconest,(C1 esterase inhibitor (recombinant))  - formerly Rhucin,"July 16, 2014",Pharming Group NV,Hereditary Angioedema
Rasuvo,(methotrexate)  Injection  - formerly MPI-2505,"July 11, 2014","Medac Pharma, Inc.","Rheumatoid Arthritis, Juvenile Rheumatoid Arthritis, Psoriasis"
Kerydin,(tavaborole)  Topical Solution,"July 7, 2014",Anacor Pharmaceuticals,"Onychomycosis, Toenail"
Beleodaq,(belinostat)  Injection,"July 3, 2014","Spectrum Pharmaceuticals, Inc.",Peripheral T-cell Lymphoma
Vazculep ,Vazculep (phenylephrine hydrochloride)  Injection,"June 27, 2014",Flamel Technologies,Hypotension
Afrezza,(insulin human [rDNA origin])  Inhalation Powder  - formerly Afresa,"June 27, 2014",MannKind Corporation,"Diabetes, Type 1, Diabetes, Type 2"
Sivextro,(tedizolid phosphate)  Tablets and Injection,"June 20, 2014",Merck,Skin and Structure Infection
Bunavail,(buprenorphine and naloxone)  Buccal Film,"June 6, 2014","BioDelivery Sciences International, Inc.",Opioid Use Disorder
Jublia,(efinaconazole)  Topical Solution,"June 6, 2014","Valeant Pharmaceuticals International, Inc.","Onychomycosis, Toenail"
Eloctate,(antihemophilic factor (recombinant))  for Injection,"June 6, 2014","Biogen Idec, Inc.",Hemophilia A
Vogelxo,(testosterone)  Transdermal Gel,"June 4, 2014","Upsher-Smith Laboratories, Inc.","Hypogonadism, Male"
Omidria,(ketorolac and phenylephrine)  Injection,"May 30, 2014",Omeros Corporation,Intraocular Lens Replacement Procedures
Natesto,(testosterone)  Intranasal Gel  - formerly CompleoTRT,"May 28, 2014",Trimel Pharmaceuticals Corporation,"Hypogonadism, Male"
Dalvance,(dalbavancin)  Injection,"May 23, 2014","Allergan, Inc.",Skin and Structure Infection
Entyvio,(vedolizumab)  Injection,"May 20, 2014",Takeda Pharmaceutical Company Limited,"Crohn's Disease, Active, Ulcerative Colitis"
Zontivity,(vorapaxar)  Tablets,"May 8, 2014",Merck,Cardiovascular Risk Reduction
Epanova,(omega-3-carboxylic acids)  Capsules,"May 5, 2014",AstraZeneca,Hypertriglyceridemia
Incruse Ellipta,(umeclidinium)  Inhalation Powder,"April 30, 2014",GlaxoSmithKline,"COPD, Maintenance"
Purixan,(mercaptopurine)  Oral Suspension,"April 28, 2014","Nova Laboratories, Ltd.",Acute Lymphoblastic Leukemia
Zykadia,(ceritinib)  Capsules,"April 29, 2014",Novartis Pharmaceuticals Corporation,Non-Small Cell Lung Cancer
Sylvant,(siltuximab)  for Injection,"April 22, 2014","Janssen Research & Development, LLC",Multicentric Castleman's Disease
Cyramza,(ramucirumab)  Injection,"April 21, 2014",Eli Lilly and Company,"Gastric Cancer, Non-Small Cell Lung Cancer, Colorectal Cancer, Hepatocellular Carcinoma"
Xulane,(ethinyl estradiol and norelgestromin)  Transdermal System,"April 16, 2014",Mylan Inc.,Birth Control
Ragwitek,(ragweed pollen allergen extract),"April 17, 2014","Merck & Co., Inc.",Ragweed Allergies
Tanzeum,(albiglutide)  Injection,"April 15, 2014",GlaxoSmithKline (GSK) plc,"Diabetes, Type 2"
Evzio,(naloxone hydrochloride),"April 3, 2014",Kaleo Inc.,Opioid Overdose
Alprolix,(coagulation factor IX (recombinant)),"March 28, 2014","Biogen Idec, Inc.",Hemophilia B
Otezla,(apremilast)  Tablets,"March 21, 2014",Celgene Corporation,"Psoriatic Arthritis, Plaque Psoriasis, Behcet's Disease"
Neuraceq,(florbetaben F18)  Injection,"March 19, 2014",Piramal Imaging,Positron Emission Tomography Imaging
Impavido,(miltefosine)  Capsules,"March 19, 2014",Paladin Labs Inc.,Leishmaniasis
Hemangeol,(propranolol hydrochloride)  Oral Solution,"March 14, 2014",Pierre Fabre Dermatologie,Infantile Hemangioma
Qudexy XR,(topiramate)  Extended-Release Capsules,"March 11, 2014","Upsher-Smith Laboratories, Inc.","Seizures, Lennox-Gastaut Syndrome, Migraine Prevention"
Xartemis XR,(acetaminophen and oxycodone hydrochloride)  Extended-Release Tablets,"March 11, 2014",Mallinckrodt,Pain
Aveed,(testosterone undecanoate)  Intramuscular Injection  - formerly Nebido,"March 5, 2014",Endo Pharmaceuticals,"Hypogonadism, Male"
Monovisc,(sodium hyaluronate)  Injection,"February 24, 2014","Anika Therapeutics, Inc.",Osteoarthritis
Tivorbex,(indomethacin)  Capsules,"February 24, 2014","Iroko Pharmaceuticals, LLC",Pain
Myalept,(metreleptin)  Injection,"February 24, 2014","Amylin Pharmaceuticals, Inc.",Lipodystrophy
Northera,(droxidopa)  Capsules,"February 18, 2014","Chelsea Therapeutics International, Ltd.",Neurogenic Orthostatic Hypotension
Vimizim,(elosufase alfa)  Injection,"February 14, 2014",BioMarin Pharmaceutical Inc.,Mucopolysaccharidosis Type IVA
Hetlioz,(tasimelteon)  Capsules,"January 31, 2014",Vanda Pharmaceuticals Inc.,Non-24-Hour Disorder; Smith-Magenis Syndrome Sleep Disturbance
Aleve PM,(diphenhydramine hydrochloride and naproxen sodium)  Caplets,"January 16, 2014","Bayer HealthCare LLC, Consumer Care","Pain, Insomnia"
Farxiga,(dapagliflozin)  Tablets,"January 8, 2014",AstraZeneca,"Diabetes, Type 2, Heart Failure, Chronic Kidney Disease"
Epaned,(enalapril maleate)  Oral Solution,"August 13, 2013",Silvergate Pharmaceuticals Inc.,"High Blood Pressure, Heart Failure, Left Ventricular Dysfunction"
Zubsolv,(buprenorphine and naloxone)  Sublingual Tablets,"July 3, 2013",Orexo AB,Opioid Use Disorder
Epaned,(enalapril maleate)  Oral Solution,"August 13, 2013",Silvergate Pharmaceuticals Inc.,"High Blood Pressure, Heart Failure, Left Ventricular Dysfunction"
Orenitram,(treprostinil)  Extended-Release Tablets,"December 20, 2013",United Therapeutics Corporation,Pulmonary Arterial Hypertension
Tretten,(coagulation factor XIII A-subunit (recombinant)),"December 23, 2013",Novo Nordisk A/S,Factor XIII A-Subunit Deficiency
Anoro Ellipta,(umeclidinium bromide and vilanterol),"December 18, 2013","GlaxoSmithKline plc (GSK) and Theravance, Inc.",COPD
Sovaldi,(sofosbuvir)  Tablets and Oral Pellets,"December 6, 2013",Gilead Sciences,Hepatitis C
Velphoro,(sucroferric oxyhydroxide)  Chewable Tablets,"November 27, 2013",Vifor Fresenius Medical Care Renal Pharma,Hyperphosphatemia of Renal Failure
Varithena,(polidocanol)  Injectable Foam,"November 25, 2013",BTG plc,Varicose Veins
Olysio,(simeprevir)  Capsules,"November 22, 2013","Janssen Research & Development, LLC",Hepatitis C
Luzu,(luliconazole)  Topical Cream,"November 14, 2013","Valeant Pharmaceuticals International, Inc.","Tinea Corporis, Tinea Pedis, Tinea Cruris"
Imbruvica,"(ibrutinib)  Capsules, Tablets and Oral Suspension","November 13, 2013",AbbVie Inc.,"Chronic Lymphocytic Leukemia, Waldenström Macroglobulinemia, Graft-versus-host disease"
Aptiom,(eslicarbazepine acetate)  Tablets  - formerly Stedesa,"November 8, 2013",Sunovion Pharmaceuticals Inc.,"Epilepsy, Seizures"
Gazyva,(obinutuzumab)  Injection,"November 1, 2013",Genentech,"Chronic Lymphocytic Leukemia, Follicular Lymphoma"
Vizamyl,(flutemetamol F 18)  Injection,"October 25, 2013",GE Healthcare,Diagnosis and Investigation
Zohydro ER,(hydrocodone)  Extended-Release Capsules,"October 25, 2013","Zogenix, Inc.",Pain
Opsumit,(macitentan)  Tablets,"October 18, 2013",Actelion Pharmaceuticals Ltd.,Pulmonary Arterial Hypertension
Zorvolex,(diclofenac)  Capsules,"October 18, 2013","Iroko Pharmaceuticals, LLC","Pain, Osteoarthritis"
Novoeight,(turoctocog alfa)  for Intravenous Injection,"October 15, 2013",Novo Nordisk,Hemophilia A
Otrexup,(methotrexate)  Subcutaneous Injection,"October 11, 2013","Antares Pharma, Inc.","Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriasis"
Adempas,(riociguat)  Tablets,"October 8, 2013",Bayer HealthCare Pharmaceuticals Inc.,Pulmonary Arterial Hypertension
Clinolipid,(lipid injectable emulsion),"October 3, 2013",Baxter Healthcare Corporation,Parenteral Nutrition
Duavee,(bazedoxifene and conjugated estrogens)  Tablets,"October 3, 2013",Pfizer Inc.,"Postmenopausal Symptoms, Prevention of Osteoporosis"
Trintellix,(vortioxetine)  Tablets  - formerly Brintellix,"September 30, 2013",Takeda Pharmaceutical Company Limited and H. Lundbeck A/S,Depression
Mirvaso,(brimonidine)  Topical Gel,"August 23, 2013","Galderma Laboratories, L.P.",Rosacea
Valchlor,(mechlorethamine)  Topical Gel,"August 23, 2013","Ceptaris Therapeutics, Inc.",Mycosis Fungoides
Trokendi XR,(topiramate),"August 16, 2013","Supernus Pharmaceuticals, Inc.",Epilepsy
FluLaval Quadrivalent,"(influenza virus vaccine, inactivated)","August 16, 2013",GlaxoSmithKline,Influenza Prophylaxis
Epaned,(enalapril maleate)  Oral Solution,"August 13, 2013",Silvergate Pharmaceuticals Inc.,"High Blood Pressure, Heart Failure, Left Ventricular Dysfunction"
Tivicay,(dolutegravir)  Tablets,"August 12, 2013",ViiV Healthcare,HIV Infection
Fetzima,(levomilnacipran)  Extended-Release Capsules,"July 25, 2013","Allergan, Inc.",Depression
Injectafer,(ferric carboxymaltose)  Injection,"July 25, 2013","Daiichi Sankyo, Inc.",Iron Deficiency Anemia
Lo Minastrin Fe,"(ethinyl estradiol and norethindrone, ethinyl estradiol, and ferrous fumarate)  Tablets","July 24, 2013",Warner Chilcott plc,Birth Control
Astagraf XL,(tacrolimus)  Extended-Release Capsules,"July 19, 2013","Astellas Pharma US, Inc.","Organ Transplant, Rejection Prophylaxis"
Simponi Aria,(golimumab)  Injection,"July 18, 2013","Janssen Biotech, Inc."
Gilotrif,(afatinib)  Tablets,"July 12, 2013",Boehringer Ingelheim Pharmaceuticals Inc.,Non-Small Cell Lung Cancer
Khedezla,(desvenlafaxine)  Extended-Release Tablets,"July 10, 2013",Osmotica Pharmaceutical Corp.,Depression
Zubsolv,(buprenorphine and naloxone)  Sublingual Tablets,"July 3, 2013",Orexo AB,Opioid Use Disorder
Brisdelle,(paroxetine mesylate)  Capsules,"June 28, 2013","Noven Pharmaceuticals, Inc.",Hot Flashes Associated with Menopause
Rixubis,(coagulation factor IX (recombinant))  Injection,"June 26, 2013",Baxter International Inc.,Hemophilia B
Bloxiverz,(neostigmine methylsulfate)  Injection,"May 31, 2013",Flamel Technologies,Reversal of Nondepolarizing Muscle Relaxants
Mekinist,(trametinib)  Tablets and Oral Solution,"May 29, 2013",Novartis Pharmaceuticals Corporation,"Melanoma, Metastatic, Non-Small Cell Lung Cancer, Thyroid Cancer, Solid Tumors, Low-Grade Glioma"
Tafinlar,(dabrafenib)  Capsules and Tablets for Oral Suspension,"May 29, 2013",Novartis Pharmaceuticals Corporation,"Melanoma, Metastatic, Non-Small Cell Lung Cancer, Thyroid Cancer, Solid Tumors, Low-Grade Glioma"
Xofigo,(radium Ra 223 dichloride)  Injection,"May 15, 2013",Bayer HealthCare Pharmaceuticals Inc.,Prostate Cancer
Nymalize,(nimodipine)  Oral Solution,"May 10, 2013",Arbor Pharmaceuticals,Subarachnoid Hemorrhage
Breo Ellipta,(fluticasone and vilanterol)  Inhalation Powder,"May 10, 2013","GlaxoSmithKline plc (GSK) and Theravance, Inc.","COPD, Asthma"
Liptruzet,(atorvastatin and ezetimibe)  Tablets,"May 3, 2013",Merck,"High Cholesterol, Familial Heterozygous"
Procysbi,(cysteamine bitartrate)  Delayed-Release Capsules,"April 30, 2013",Raptor Pharmaceutical Corp.,Nephropathic Cystinosis
